date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:58:39	23632/23632	---M--	200	added ('OK')	font/woff2	date:Mon,%2022%20Apr%202024%2005:58:39%20GMT	https://test.b12sites.com/assets/fonts/muli-latin-ext-normal-600.woff2	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/muli-latin-ext-normal-600.woff2	(from https://test.b12sites.com/)
01:58:40	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Apr%202024%2005:58:39%20GMT	http://test.b12sites.com/assets/fonts/muli-vietnamese-normal-700.woff2	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/muli-vietnamese-normal-700.woff2	(from https://test.b12sites.com/)
01:58:40	26464/26464	---M--	200	added ('OK')	font/woff2	date:Mon,%2022%20Apr%202024%2005:58:39%20GMT	https://test.b12sites.com/assets/fonts/muli-latin-normal-600.woff2	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/muli-latin-normal-600.woff2	(from https://test.b12sites.com/)
01:58:41	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Apr%202024%2005:58:40%20GMT	http://test.b12sites.com/assets/fonts/muli-latin-ext-normal-700.woff2	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/muli-latin-ext-normal-700.woff2	(from https://test.b12sites.com/)
01:58:41	8436/8436	---M--	200	added ('OK')	font/woff2	date:Mon,%2022%20Apr%202024%2005:58:40%20GMT	https://test.b12sites.com/assets/fonts/muli-vietnamese-normal-700.woff2	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/muli-vietnamese-normal-700.woff2	(from https://test.b12sites.com/)
01:58:42	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Apr%202024%2005:58:41%20GMT	http://test.b12sites.com/assets/fonts/muli-latin-normal-700.woff2	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/muli-latin-normal-700.woff2	(from https://test.b12sites.com/)
01:58:42	23632/23632	---M--	200	added ('OK')	font/woff2	date:Mon,%2022%20Apr%202024%2005:58:41%20GMT	https://test.b12sites.com/assets/fonts/muli-latin-ext-normal-700.woff2	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/muli-latin-ext-normal-700.woff2	(from https://test.b12sites.com/)
01:58:43	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Apr%202024%2005:58:42%20GMT	http://test.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot	(from https://test.b12sites.com/)
01:58:43	26464/26464	---M--	200	added ('OK')	font/woff2	date:Mon,%2022%20Apr%202024%2005:58:42%20GMT	https://test.b12sites.com/assets/fonts/muli-latin-normal-700.woff2	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/muli-latin-normal-700.woff2	(from https://test.b12sites.com/)
01:58:44	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Mon,%2022%20Apr%202024%2005:58:43%20GMT	http://test.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713.eot?	C:/My%20Web%20Sites/LAIT/test.b12sites.com/assets/fonts/fontawesome-webfont-674f50d287a8c48dc19ba404d20fe713d41d.eot	(from https://test.b12sites.com/)
